mean,std,source layer,source
0.0017817371937639199,0.001863385359764088,0,P04114
0.0035634743875278397,0.004045857934206002,0,P04908
0.006236080178173719,0.003659616197139195,0,P02647
0.008017817371937639,0.010750573172514185,0,Q96A08
0.018262806236080176,0.008392625247847115,0,P68871
0.029844097995545656,0.022305097476265984,0,P11142
0.031180400890868598,0.01629035505381714,0,P10451
0.0334075723830735,0.02534478101724063,0,P60709
0.03697104677060134,0.053046905065546004,0,P08571
0.04142538975501114,0.024018369201858198,0,P25788
0.042316258351893093,0.030169748739741795,0,P02452
0.04409799554565702,0.03979102259978137,0,P62805
0.048106904231625836,0.02488060586863063,0,P06727
0.055233853006681516,0.05392331288047496,0,P00734
0.061915367483296214,0.02849561265311707,0,P18206
0.06369710467706013,0.02944586883035797,0,Q9H4B7
0.07171492204899778,0.03543933056733379,0,P28072
0.0752783964365256,0.04581698305790215,0,P07998
0.07706013363028953,0.03582909140702041,0,Q9UBR2
0.08285077951002227,0.12520190686468066,0,P07900
0.08463251670378619,0.037034051555269246,0,P05121
0.08997772828507795,0.10117831979022697,0,P49721
0.09175946547884188,0.08081594894009032,0,P02649
0.09398663697104678,0.06874351608418101,0,P61769
0.09755011135857461,0.048830449268159305,0,P02655
0.10289532293986638,0.03969741855905465,0,P02656
0.10289532293986638,0.04104889137452997,0,P08709
0.10467706013363029,0.11143649834870267,0,P00742
0.10512249443207128,0.039634893053937796,0,P13611
0.10512249443207128,0.011508250051459968,0,P02654
