mean,std,source layer,source
0.0013029315960912053,0.0017841125651634079,1,R-HSA-975634
0.005405405405405405,0.00585550227339888,2,R-HSA-975634
0.02586206896551724,0.01055814544303094,3,R-HSA-2262752
0.026710097719869704,0.01408582951820173,1,R-HSA-446388
0.027586206896551727,0.033052223297725544,3,R-HSA-168249
0.03103448275862069,0.02628957014133949,3,R-HSA-2187338
0.03192182410423453,0.03252439326740486,1,R-HSA-418990
0.03861003861003861,0.03621942671678324,2,R-HSA-73929
0.04495114006514658,0.04402819671427548,1,R-HSA-114608
0.049511400651465795,0.020132295948354976,1,R-HSA-3299685
0.049999999999999996,0.033052223297725544,3,R-HSA-2173782
0.05405405405405406,0.02953100104397366,2,R-HSA-6798695
0.0555984555984556,0.042959632573594204,2,R-HSA-9707616
0.05637065637065637,0.056784328658677816,2,R-HSA-421270
0.06551724137931034,0.08123599303027412,3,R-HSA-446728
0.07068965517241378,0.030721602898630105,3,R-HSA-174824
0.07104247104247104,0.05155560736000152,2,R-HSA-446353
0.07166123778501629,0.027639353010549088,1,R-HSA-6806942
0.07166123778501629,0.13678842735241736,1,R-HSA-140534
0.07258687258687259,0.04778918439155461,2,R-HSA-9711123
0.07296416938110749,0.04244538405019394,1,R-HSA-9707564
0.07335907335907337,0.029656933389454083,2,R-HSA-2168880
0.0810344827586207,0.04420993587916581,3,R-HSA-109581
0.08262548262548262,0.04749191697817747,2,R-HSA-69052
0.0964169381107492,0.12241231300103728,1,R-HSA-73927
0.10097719869706841,0.08770626721717432,1,R-HSA-5603041
0.10749185667752444,0.06324588872621367,1,R-HSA-9679191
0.10810810810810811,0.10064564013696582,2,R-HSA-76005
0.10810810810810811,0.19497113780621772,2,R-HSA-5357769
0.10965250965250965,0.10376694798175486,2,R-HSA-140875
